"From","From Address","To","To Address","Departure Date","Departure Time","Arrival Date","Arrival Time","Driving Time","Distance","Total Driving Time","Total Distance","Notes"
"Rt 66 Raceway - Gate 11","South Chicago Street, Jackson, IL","Left on Manhattan/Arsenal Rd","IL 53, Jackson, IL","2025-06-11","09:00","2025-06-11","09:02","2m","2.0","2m","2.0",""
"Left on Manhattan/Arsenal Rd","IL 53, Jackson, IL","Turn right on US-52E/W North St","Manhattan, IL","2025-06-11","10:02","2025-06-11","10:07","4m","4.3","7m","6.4",""
"Turn right on US-52E/W North St","Manhattan, IL","Right on US-45S/US-52E","West Joliet Road, Peotone, IL","2025-06-11","11:07","2025-06-11","11:19","12m","10.1","19m","16.5",""
"Right on US-45S/US-52E","West Joliet Road, Peotone, IL","Right on E 12000N Rd","Manteno, IL","2025-06-11","12:19","2025-06-11","12:24","4m","4.0","24m","20.5",""
"Right on E 12000N Rd","Manteno, IL","Right on N 18000E Rd / Stateline Rd","West Creek, IN","2025-06-11","13:24","2025-06-11","13:44","19m","18.4","44m","38.8",""
"Right on N 18000E Rd / Stateline Rd","West Creek, IN","Left onto 185th Ave","Yellowhead, IL","2025-06-11","14:44","2025-06-11","14:45","1m","1.0","45m","39.9",""
"Left onto 185th Ave","Yellowhead, IL","Left on US-41N","West Creek, IN","2025-06-11","15:45","2025-06-11","15:54","8m","3.1","54m","42.9",""
"Left on US-41N","West Creek, IN","Right on West 181st Ave/IN-2","Wicker Avenue, West Creek, IN","2025-06-11","16:54","2025-06-11","16:55","","0.7","55m","43.6",""
"Right on West 181st Ave/IN-2","Wicker Avenue, West Creek, IN","Left on US-231 North","West 1014 South, Boone, IN","2025-06-11","17:55","2025-06-11","18:13","18m","14.0","1h 13m","57.6",""
"Left on US-231 North","West 1014 South, Boone, IN","Right on E Sigler St/IN-8 East","Hebron, IN","2025-06-11","19:13","2025-06-11","19:16","2m","2.0","1h 15m","59.7",""
"Right on E Sigler St/IN-8 East","Hebron, IN","Left on US-421 North","West Main Street, La Crosse, IN","2025-06-11","20:16","2025-06-11","20:34","18m","16.0","1h 34m","75.7",""
"Left on US-421 North","West Main Street, La Crosse, IN","Right on Lincoln Highway / US-30E","10011 West US Highway 30, Wanatah, IN","2025-06-11","21:34","2025-06-11","21:44","9m","8.1","1h 44m","83.8",""
"Right on Lincoln Highway / US-30E","10011 West US Highway 30, Wanatah, IN","Left on West Coliseum Blvd","West Coliseum Boulevard, Fort Wayne, IN","2025-06-11","22:44","2025-06-12","02:09","2h 25m","116.5","4h 9m","200.3",""
"Left on West Coliseum Blvd","West Coliseum Boulevard, Fort Wayne, IN","Turn right into Gate 1 - Allen Co War Mem Coliseum","4000 Parnell Avenue, Fort Wayne, IN","2025-06-12","03:09","2025-06-12","03:15","5m","3.2","4h 15m","203.5",""
